,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
12346,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12347,12802,13918,17932,13718,12906,15517,12912,14973,17301,15768
12348,12548,13027,12442,15232,12619,12778,15280,17446,18251,13366
12349,12668,12552,12358,15258,16070,12588,12665,12384,12809,12550
12350,12652,18230,13684,15195,12762,12817,15342,16828,12449,15520
12352,13898,12665,15801,15223,17947,12603,12566,17501,13023,12795
12353,12863,15224,14301,15212,17718,13799,17110,13369,14045,17455
12354,15810,12679,12732,12691,12648,13243,12447,12710,13520,12530
12355,14167,17212,17110,16928,13144,15882,17991,16593,15493,15206
12356,12528,12407,17180,12794,17718,15224,12569,12852,14050,16954
12357,15883,17189,13448,13153,14081,13232,15485,12902,15370,13416
12358,15442,14145,12917,12401,12665,18240,16038,14155,14570,12515
12359,15658,12836,14088,15796,13015,15122,17139,18257,14871,14031
12360,12626,12662,13815,12526,12413,12553,15810,17238,12732,17911
12361,12592,12593,12564,12616,12373,12379,12367,12372,12645,12724
12362,12626,12637,12656,12562,12567,12682,12457,12689,12490,12724
12363,16292,13027,12436,17446,12676,14241,13930,13754,15280,15244
12364,13211,12676,12694,12414,12571,12726,15544,16951,12643,12599
12365,17572,17991,13951,18282,13144,15379,12515,13669,14890,17831
12367,12372,12361,12592,12564,12390,12593,12616,12624,12492,12426
12370,14476,16494,17173,15437,17535,14465,17828,16321,17523,13803
12371,12702,12725,15758,14578,17714,14371,12445,12614,15054,12966
12372,12616,12367,12361,12564,12390,12645,12618,12447,14082,12518
12373,12715,12375,12587,12402,17031,13791,16351,16403,13283,12516
12374,12421,15883,17572,12828,12789,16982,14371,13532,12702,15720
12375,12587,15769,14887,13283,14566,13461,13070,16997,13242,12373
12377,12674,12728,12679,12691,12710,12681,12406,12489,12518,15503
12378,12564,12437,12458,14050,12490,12468,12683,17994,17242,12674
12379,12447,13520,12623,12670,12724,12373,12361,12490,12375,12526
12380,12530,12724,14680,13029,12375,15810,13815,12373,12715,13178
12381,12644,12507,12697,12436,12645,12427,12622,12588,12739,12429
12383,12599,12740,16951,12390,12694,12732,12710,12582,12437,12479
12384,12401,12603,12673,12795,12431,12515,12656,12457,12814,12478
12386,13099,12448,13182,12565,17175,16026,17486,16917,12756,12601
12388,14702,15199,14473,12873,13666,12841,17723,16369,15975,15255
12390,12691,12710,12518,12740,12616,12372,12729,12361,12674,12732
12391,14537,15754,18167,13177,18261,14937,15333,14567,14840,17173
12393,16281,18269,12645,12526,15970,12553,12478,12593,15433,12483
12394,12732,12679,12447,12680,12579,12616,12648,12691,12739,12759
12395,12700,12689,12790,12674,12494,12583,12431,12637,12465,12684
12397,12398,12701,12739,12491,12680,12560,12759,12361,12372,12656
12398,12397,12623,12399,12678,12701,12379,12372,12713,12645,12390
12399,12645,12726,16951,12676,12678,12437,18235,12694,12398,14586
12401,12603,12588,12515,12795,12358,12384,17408,12622,18240,12917
12402,12587,12373,16997,12375,13070,12715,12811,12990,14566,12516
12403,12664,12732,15970,12648,17083,12375,12557,17871,12679,13520
12405,12436,12414,13817,12624,12604,12618,12458,12491,17628,12616
12406,12674,12812,12578,18086,12613,12377,12697,12490,12480,12645
12407,12528,15224,12794,12356,14560,12852,17398,12515,17180,12566
12408,12724,12689,12700,12623,16393,12715,12562,12656,12373,12423
12409,12579,12403,17083,15063,12662,12732,18144,12457,14231,16788
12410,12603,12464,16828,16222,16509,13014,15059,12548,13006,14976
12412,12739,17703,13816,12702,13107,15500,12701,12680,14420,12406
12413,12553,12375,12373,12379,12526,12672,12360,12682,12637,13283
12414,12676,17152,16287,12643,14586,16969,12922,17628,12509,12364
12415,12431,15144,16053,14646,18257,12536,12567,12721,12683,12678
12417,12809,12915,12539,13871,15480,12690,13324,14461,12852,12528
12418,16097,17272,15057,15004,16734,13727,14479,15429,14352,15204
12420,12863,17718,15888,12353,17110,13006,12407,14267,14644,12739
12421,15224,12374,17828,12407,12828,17572,16038,13524,12794,14789
12422,17031,12715,18177,12373,12587,12808,12785,15032,15732,16351
12423,12379,12669,12408,12700,12623,12689,13520,12490,12380,12715
12424,16444,15000,13914,16460,16954,15014,18019,15143,13211,14421
12425,13376,14459,17031,16351,15213,12793,12550,12373,16080,12715
12426,12361,12447,14976,12596,12367,12755,15342,12565,16926,12669
12427,12491,12468,12616,15414,12531,12689,12814,13816,12729,12622
12428,12512,12405,14245,13817,18040,13952,12582,17367,18120,12693
12429,12762,12381,13428,12449,12686,13870,12540,12816,13730,12603
12430,12507,12531,12814,14708,12548,12797,17402,12452,12475,12817
12431,12384,12637,12689,12640,12395,12705,12669,12688,12415,12721
12432,12729,18062,12520,12438,12609,17402,17670,13645,12381,13811
12433,12569,14796,14912,14865,16728,17180,13453,13357,12357,13448
12434,12695,13887,17152,15199,14632,17142,15888,15537,12688,14078
12435,17885,12656,17092,16147,13821,17091,16835,12446,16005,16680
12436,17628,12405,14241,12676,12738,12414,17152,12604,13247,12364
12437,12676,12571,12740,14050,12710,12399,12354,16951,12583,12759
12438,12457,12616,13621,12729,12680,12475,12679,16531,12689,13518
12441,12544,16671,15070,12532,15975,12676,12436,12509,14894,15870
12442,12504,12676,12740,12548,12571,12643,12414,12541,12348,12547
12444,17648,14359,15345,12574,18265,15554,15343,12456,17279,13731
12445,12603,12814,12725,12622,12736,12665,12817,12401,15458,17714
12446,17649,12709,12380,17636,15836,15577,17088,12354,16899,17086
12447,12379,12623,12866,13520,13817,12732,12394,12616,12361,12669
12448,12550,12817,12680,12802,12548,12739,12731,12361,12738,12367
12449,12616,12457,12372,16680,12438,15707,12379,12361,12650,12429
12450,15567,12981,16248,13278,14054,13016,18133,13356,12717,17636
12451,12633,12700,12689,12662,13520,12490,13178,12380,12423,12626
12452,12478,12691,17010,12814,12616,12817,12390,12936,12491,14291
12453,12784,12534,12739,12618,12817,12561,13813,12628,13812,12367
12454,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12455,17083,12399,15810,12648,13243,12557,12354,16969,12664,17454
12456,16557,12817,13382,15095,14770,12444,13486,13811,14819,12403
12457,12656,12438,12689,12616,12562,12637,13520,12491,12700,16706
12458,12564,12361,12618,12491,15363,12654,12691,12405,15918,12498
12461,17374,17935,15705,15108,12817,12464,12500,17880,13750,16339
12462,13809,13524,12353,17883,15938,12358,14560,12603,13249,12779
12463,12494,12690,12603,12876,14309,12653,18249,12762,17097,12423
