,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
12346,22351,22354,22350,22352,22356,22344,22349,22348,22346,22345
12347,21977,21136,22109,84945,21974,84380,20754,22466,84879,21935
12348,21975,21984,22417,22614,23309,21210,22949,22553,22557,21974
12349,23328,22649,22652,22646,22551,23091,22072,21481,22993,23356
12350,22556,22413,22553,22554,21165,21914,84077,21891,21181,23501
12352,23084,22551,22629,47590B,22666,22620,22089,23108,47590A,22845
12353,22055,21232,37447,21231,22649,37448,22063,22059,22064,22423
12354,22636,21892,POST,23009,22139,85099B,23298,22083,22328,22622
12355,23078,15036,21231,72807A,72807C,72741,22969,72803A,22064,72807B
12356,37446,22644,21232,37449,22966,21121,22851,22139,84988,21977
12357,22644,22111,21519,23439,23571,22637,22624,23342,23497,21873
12358,85014A,37446,22649,22645,85014B,37448,22061,37450,22055,22644
12359,22723,22992,22622,22470,23089,22191,23543,23193,22730,22086
12360,22750,23254,85099B,21243,21787,22333,22418,21931,22086,22749
12361,22551,22662,20728,22556,22383,23206,22384,20727,22557,23209
12362,22558,22960,48184,22989,22801,22384,23293,23239,22729,20724
12363,22417,23307,22951,23306,84988,23308,22692,48184,22909,84987
12364,22417,23230,16161P,47566B,22991,22938,23231,22985,23232,22037
12365,22584,22938,20971,21112,21110,23173,84879,22960,22969,84991
12367,22659,21577,21578,22551,22328,21559,22556,16161P,21499,16161U
12370,22241,22796,22219,22295,22311,22813,23212,21730,22268,21136
12371,22112,22748,21619,22835,23207,22867,23209,85034B,23154,20726
12372,23233,22617,22467,16161P,20749,22557,22619,23231,21559,20977
12373,22554,22385,22355,23206,20727,22384,21930,22382,20725,85099F
12374,22111,22952,22487,22910,22835,23356,22737,21109,23234,23355
12375,85099B,23199,85099F,23202,23201,21931,22385,21928,23344,22411
12377,21731,22557,22554,22748,22745,22499,22970,21485,22636,22971
12378,23007,22744,23076,23008,22906,22937,23312,22904,23010,23500
12379,21559,20727,21936,84997D,23237,20682,20749,21240,22557,22628
12380,23200,23202,23298,22968,47566,20750,23203,22352,22466,23205
12381,22138,22326,23298,22617,23245,85123A,22978,23307,22457,22972
12383,22331,22467,20674,84997C,22723,22957,22555,21245,22079,21976
12384,22386,20749,85014B,23240,85099B,20712,20679,22690,22720,15056P
12386,22554,22551,22925,22556,21260,22584,22488,21787,23188,22652
12388,23108,22668,22499,23251,85048,22424,23247,47566B,21621,85053
12390,22630,22636,22554,22631,21122,21124,23010,23389,22748,22557
12391,22750,23076,20972,21621,20970,22637,22505,21135,22960,47590B
12393,21791,21936,22077,21429,22139,23206,22621,84997D,21790,20972
12394,22138,21239,22720,22617,20749,22635,20677,23294,21243,22326
12395,22466,22951,22636,84991,20914,22554,22328,23192,23480,22725
12397,22960,22635,20750,23254,22989,23256,23433,23231,22666,22964
12398,22077,21985,22960,22720,21980,22898,22555,22333,22617,22772
12399,22960,22993,20728,23307,22384,22383,23296,23206,21121,23207
12401,20679,15056P,85014A,85014B,22776,23245,22699,22697,72760B,22236
12402,22385,22411,85099B,22629,23203,23200,23199,22554,22967,20713
12403,23256,23254,23255,21136,21731,22326,21242,21124,21094,21122
12405,22320,47566,21428,22128,21212,23236,84347,37495,22555,22619
12406,21731,22328,22930,21213,48184,22557,22352,21479,23283,22691
12407,37449,37446,37450,47567B,21213,22059,23078,21232,22938,21110
12408,23239,22730,22899,23203,22631,23201,22302,21731,21931,23194
12409,23169,22654,21733,84997B,71477,20718,84997D,21242,82600,85053
12410,21770,21210,21843,21908,22671,21216,22720,22961,22667,22848
12412,21481,23293,84029G,23310,23390,21452,22197,23346,23318,23255
12413,22139,15056N,85014B,15056BL,23344,22636,22745,21559,22386,22635
12414,22553,22555,47599B,21086,21094,20973,22090,23298,21380,21213
12415,23493,22383,23204,21533,20724,48129,20719,23368,22693,23311
12417,22627,23321,23299,23571,21217,22961,22798,20749,22989,23109
12418,22623,22418,22605,21889,23284,22550,22622,22139,21913,21892
12420,21232,21231,23234,23080,22507,22644,23239,22505,22064,22722
12421,47591D,85123A,37449,22065,22644,22306,21175,23313,21109,22804
12422,85099B,23581,20725,22386,22751,21930,20726,22750,23203,21933
12423,23108,20726,22824,20682,22556,23205,22301,22740,23206,23240
12424,22621,22938,22776,22086,21172,22077,22956,47590A,84375,22964
12425,22384,20718,22662,22382,20727,20726,21559,22554,22197,85099B
12426,22485,22630,22557,22413,21175,21908,21166,21906,22659,21181
12427,22326,22974,22302,23480,22303,22139,22138,22988,23388,22899
12428,22668,22692,22907,21114,22180,22822,20975,22487,21380,22499
12429,21791,23158,23159,85123A,22549,82600,15036,23229,22605,23182
