,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
10002,37468,84535A,90108,22243,84212,21917,23506,17129F,16169K,20866
10080,84012,22100,21641,22422,21650,16218,90210C,21373,84925F,22608
10120,21839,16236,16237,16216,16238,21220,62074B,20986,84576,21222
10123C,10124A,22293,22804,20675,22587,22256,22858,21246,21221,21222
10124A,10124G,21018,10123C,79190D,21648,23565,85197,20755,20756,85211
10124G,10124A,79190D,20677,20676,23440,21239,20675,20674,21240,21238
10125,21883,21882,16237,22398,22097,21719,20682,20686,21880,16236
10133,20984,10135,22610,16218,20996,21636,22608,16045,21402,21403
10135,10133,21636,20984,20996,21112,21111,21635,84826,90087,20616
11001,22439,20867,21833,20670,20622,21065,20619,17007B,21826,71496A
15030,15044D,15036,15039,17012E,15034,40016,15044B,15044C,84683,21194
15034,15030,15044D,15044B,15039,15044C,90039B,90039A,21650,22547,17003
15036,15030,15034,15044A,15044D,15044C,40016,15044B,17028J,84795C,84692
15039,15030,90039B,90039A,84795C,17028J,15034,15044B,90039D,15044D,23137
15044A,15044C,15044D,15044B,90039B,90039A,90039D,84689,15030,47481,22135
15044B,15044D,15044C,15044A,90039A,90039B,90039D,15030,90205A,35653,20659
15044C,15044A,15044D,15044B,47481,15030,85168B,90205A,21028,85055,35653
15044D,15044B,15044C,15044A,15030,90039D,90039B,90039A,40016,15034,21189
15056BL,20679,15056N,15056P,85014A,85014B,15044B,15044D,15060B,90183C,84673A
15056N,15056BL,20679,15056P,85014A,85014B,90183C,22903,15060B,84673A,23180
15056P,20679,15056BL,15056N,85014B,85014A,23180,15060B,51008,22134,90205A
15058A,15058B,15058C,84952A,47563A,46138B,20935,20910,85087,20997,20798
15058B,15058A,15058C,46138B,20997,85087,22875,84673B,22869,47563A,20910
15058C,21374,47563A,46138B,84231,21750,37475,85208,15058B,16052,15058A
15060B,85014A,85014B,46138B,20679,15056P,20622,84388,20665,21786,20700
16008,23510,84341B,23429,47504H,85212,22093,23430,22773,23507,22099
16010,84569C,90103,21827,DOT,90101,90141D,90141E,90076,20678,90141A
16011,16238,90059F,16235,16012,20986,16216,21724,16237,16218,22610
16012,16011,16238,21721,20986,21030,16235,22422,16236,16216,16237
16014,16015,16016,90039A,90039B,90039D,90205A,21683,15030,90043,90049
16015,16014,16016,90039B,90039A,90039D,15030,15034,90205A,72130,84683
16016,16014,16015,90039B,90039A,22482,22481,21683,22480,90039D,90205A
16020C,21473,21476,85186A,90125E,84974,23459,90025A,22053,22857,72232
16033,35647,84598,20985,16219,90167,37423,84199,85071A,85177,21159
16043,84705C,84857B,37487B,37488A,16151A,35638B,84858C,84422,44234,44235
16045,16054,16235,21088,21641,21096,16218,35818B,20616,16048,16259
16046,84596E,84466,79190B,21034,21294,90165B,85028L,16012,84596G,85030
16048,84509E,16054,16219,90086,85131B,DOT,71496A,35818B,90083,81952V
16049,22820,22334,23580,90125A,16168M,85180B,23078,22608,23598,22610
16052,84402B,90205C,90141C,90141A,90141E,90141D,90076,20678,90103,79161A
16054,16045,35818B,90101,16048,90059F,84569C,90103,90141A,90141C,71496A
16151A,84705C,84857B,16043,37487B,37488A,35638B,84422,84858C,44234,44235
16156L,84206A,90205C,90141D,90076,20678,90141E,16161G,90103,90101,21503
16156S,16161P,21500,21499,22706,22986,16169M,21495,23230,21498,22707
